blog,category
"For millions of Americans, getting the best holiday shopping deals and discounts have become as much a part of Thanksgiving as turkey, football or pumpkin pie.  Increasingly, that shopping takes place online, which provides a lot of conveniences but also raises the specter of scams, fraud or identity theft. Just as consumers have migrated towards online shopping, credit card thieves have started shifting their efforts online as well. During the holidays, deeply discounted products look appealing and shoppers make quick purchasing decisions without always taking into consideration the online purchasing risks that can be present. Many Americans have had their online accounts hacked and personal information compromised because of stolen credentials or weak logins. As hackers get more resourceful, usernames and passwords – which have been the fundamental account security mechanism – are no longer a sufficient solution to secure accounts. Luckily, there is a simple way to secure your online accounts and better protect yourself against online crime: strong authentication.

Enabling strong authentication, sometimes called multi-factor or two-factor authentication, goes beyond just a username and password and is a useful way to lock down your login. I encourage you to enable strong authentication on your sensitive online accounts such as your email, banking, and social media accounts today. Taking advantage of the strong authentication – such as a unique one-time code through an app on your mobile device, biometrics, or security keys – that are offered by the majority of popular websites and services can go a long way in protecting your personal information online.

The White House recently launched the “Lock Down Your Login” campaign to encourage all Americans to protect themselves online with strong authentication. For more information on strong authentication and the new campaign, please visit  www.LockDownYourLogin.com. You’ll find specific advice on how to turn on strong authentication on a variety of websites and services that Americans use each day.

Additionally, DHS’ Stop.Think.Connect. campaign has a number of tips and resources to help consumers protect themselves when shopping online.  In addition to using strong authentication whenever possible, consumers should:

For more tips and information on how to stay safe online, please visit www.dhs.gov/stopthinkconnect.",tsa
"The mission of the Department of Homeland Security (DHS) is to safeguard the American people, our homeland, and our values.  As a Department, we work to combat the heinous crime of human trafficking each day because it robs people of their freedom; it makes our homeland less secure; and it stands in stark contrast to our American values.

By Presidential Proclamation, January is National Slavery and Human Trafficking Prevention Month. DHS employees can take a stand against human trafficking by recommitting ourselves to the fight to end human trafficking in the United States. But you don’t have to be a homeland security professional to combat human trafficking.  This January, learn how to recognize the signs of human trafficking, and where to report suspected instances. We need you to help end trafficking in your community.

January 11 is the Blue Campaign’s ""Wear Blue Day"", a day where we can all pledge our solidarity with victims of human trafficking and raise awareness about, and work to end, this heinous crime.  You can participate by wearing blue and contributing to the campaign on social media using #WearBlueDay.   Help us bring trafficking out of the shadows and into plain sight.

DHS created the Blue Campaign in 2010 to serve as the Department’s unified voice to combat human trafficking. By prioritizing the fight against human trafficking and improving our coordination across the Department on this important issue, we embarked on a concerted effort to raise public consciousness of human trafficking, protect victims, and bring perpetrators to justice.  Please join us in this important fight.",tsa
"The mission of the Department of Homeland Security (DHS) is to safeguard the American people, our homeland, and our values. That means preventing terrorism, securing our border, managing our immigration system, safeguarding cyberspace, and ensuring resilience to disasters.  But it also means fighting human trafficking, which is an affront to human dignity, and stands to threaten our people, our homeland, and our values.

DHS created the Blue Campaign in 2010 to serve as the Department’s unified voice to combat human trafficking. By prioritizing the fight against human trafficking and improving our coordination across the Department on this important issue, we embarked on a concerted effort to raise public consciousness of human trafficking, protect victims, and bring perpetrators to justice.

Earlier today, Secretary of Homeland Security Jeh Johnson participated in the annual meeting of the President’s Interagency Task Force to Monitor and Combat Human Trafficking (PITF) at the White House. This meeting provided an important opportunity to take stock of our efforts to combat human trafficking not only over the past year, but throughout this Administration. We know that our work to fight human trafficking is not over, but I am incredibly proud of how far we have come.

During the meeting, Secretary Johnson announced the Department’s revision to the Immigration and Customs Enforcement (ICE) Directive on Continued Presence. This revision will extend the duration of this important immigration designation for non-U.S. citizen victims of human trafficking from one year to two years, providing crucial stability and greater support to victims as they aid in the investigations of their traffickers. This is a part of our Department’s victim-centered approach to combating human trafficking.

This January, the Blue Campaign announced that going forward, human trafficking awareness training would be integrated into the basic training courses at the Federal Law Enforcement Training Centers (FLETC), ensuring that over 90 federal law enforcement agencies that participate in FLETC are equipped with the tools to recognize possible cases of human trafficking and respond appropriately.

These two examples demonstrate that a holistic approach to combating human trafficking means both protecting victims as well as equipping law enforcement with the tools and resources they need to recognize, report, and investigate human trafficking.

But our work cannot and does not end there.  Every day, DHS employees look for indicators of human trafficking in the course of their daily duties. Immigration and Customs Enforcement (ICE) employees investigate human trafficking cases, and support victims through a victim assistance program. Customs and Border Protection (CBP) employees work with airline personnel to combat human trafficking through the Blue Lightning Initiative, and ensure that products made with forced labor overseas are not able to enter our supply chain. U.S. Citizenship and Immigration Services (USCIS) works to ensure that eligible non-citizen victims of trafficking have access to badly-needed immigration designations for trafficking victims. And the Blue Campaign works to empower communities to combat human trafficking by forming partnerships, raising public awareness, and creating and disseminating free tools and resources for use across the country in combating human trafficking.

Our work is far from over. Until it is, it remains my honor to combat human trafficking alongside the dedicated women and men of DHS.

Download this graphic here to learn more about DHS’s unified effort to combat human trafficking.",tsa
"As a transportation security specialist–explosives for TSA, I provide a critical layer of security. When our officers at the checkpoint have concerns about an item or image during screening, they call on me to provide advanced alarm resolution. This means that I’m responsible for ensuring that the item isn’t a potential bomb.

All specialists, like me, are former members of a public safety or military bomb squad. I served 14 years in the United States Army and deployed to Iraq and Afghanistan as the platoon sergeant of an explosive ordnance disposal company. In many ways, my work with TSA is a continuation of that experience.

I provide training to TSA officers on explosives and improvised explosive device detection, as well as concealment and smuggling techniques. Working in an airport is an exciting and fast paced environment. TSA officers have to be vigilant and well-prepared as they focus on their important job of preventing dangerous items from boarding an aircraft.

My mission extends beyond the airport. I work throughout central Florida conducting training, performing vulnerability assessments, and sharing information on evolving threats with our partners in the rail, bus, pipeline and maritime services.

Explosive devices are the number one threat to aviation, and terrorists are firm in their intent to do us harm. Some days, 70,000 travelers pass through my airport’s checkpoint – almost the equivalent of the entire population of my hometown. My goal is to ensure every one of them gets to their destination safely.",tsa
"Yesterday, Secretary of Homeland Security Jeh C. Johnson hosted the 2016 DHS Secretary’s Awards Ceremony to honor DHS employees from across the country for their extraordinary work and commitment to the Department’s mission.

Secretary Johnson delivered remarks during this, his final Secretary’s Awards ceremony in office. Here’s what he said:

“I want to give all of the awardees in the room one more great round of applause for your terrific work.

Today is my last ceremony such as this one along with Ali the Deputy Secretary, so I cannot help but reflect on my time as Secretary - my 1,038 days as secretary - with Ali as my partner.

When we walked in the door 34 months ago - 1,038 days ago - we looked around and we recognized that we had a lot of work to do. We had a lot of work to do on the Department and focused on, as Ali likes to put it, building the Department of Homeland Security that each of you deserve.

When we walked in, there were many vacancies at senior level positions in the Department. So first order of business was filling those vacancies with many of the men and women that you see in the first two rows. And within a short period of time, we filled those vacancies with remarkably committed, talented senior leaders of this Department who have led us over the last number of years in our extraordinary homeland security mission. I’d like everyone to give your leadership team a great round of applause. Political appointees and career, it has been my honor to work with such an extraordinary leadership team.

Through our Unity of Effort initiative we have, I hope you will agree, built a better Department of Homeland Security that you deserve: through Joint Task Forces, the Joint Requirements Council, through a number of other reforms in the way that we conduct our business, and through our incredibly important mission. We are at the forefront of so many vitally important national security and homeland security missions, on the front page virtually every day. There are so many ways in which all of you are leading the effort to protect and safeguard the American people, our homeland, and our values. We’ve done a lot of things over the last 34 months.

Ali continually pointed out to me that in order to engage in reform, we’ve got to focus on the men and women of this Department. We have to focus on your work, your working conditions, and so much of our work has been on improving the pay scale, for example, for ERO, for improving the transparency of training and promotion opportunities, through the creation of our DHS-wide mission statement that binds all of you together in our collective homeland security mission, through the creation of the video that you saw at the outset of this program, and through the improvement in the morale in this Department. I am pleased that this year, we’ve raised morale across this entire Department three whole percentage points, which is regarded by OPM as statistically significant, that I hope is the beginning of our new trend upward in this Department.

We brought back this awards ceremony to acknowledge the terrific and great work and the value of the men and women of this Department which I am sure all of the awardees will agree is a reflection of the work you see among thousands of your colleagues.

Ladies and gentlemen, it has been the highlight of my professional life to lead all of you; it has been the highlight of my professional life to work with all of you. Quite frankly, much is said and written about my distinguished family, and when people talk about that, they talk about my father’s family, but not much is said about my mother’s family. My mother’s family were Washingtonians. They were all like you, federal servants who loved their country and were patriotic. And so when I look at you, I see my family. Thank you for the opportunity to work with you. Thank you.

Congratulations to the awardees today. I look forward to continuing to serve you for the remaining time in this Administration. And I hope that all of you will continue to safeguard the American people, our homeland, and our values. Thank you, congratulations, and God bless you.”",tsa
"Last week, we were honored to join almost 600 industry partners and Department of Homeland Security (DHS) leaders for a Strategic Industry Conversation event. Our industry partners are well positioned to assist the Department in solving problems, improving processes, and supporting diverse mission areas.

The Strategic Industry Conversation is not your typical “industry day” focused on specific procurements. Instead, it is a venue for DHS and industry to discuss program topics that span multiple DHS Offices and Components and impact the DHS Unity of Effort initiative.

Under Secretary for Management Russ Deyo delivered keynote remarks, during which he emphasized the Department’s commitment to working with industry to improve mission outcomes. Deputy Under Secretary for Management and Chief Financial Officer Chip Fulghum discussed how Management’s integrated priorities helped improve existing acquisitions by developing new processes where needed. Deputy Assistant Secretary for Unity of Effort Integration Drew Kuepper spoke on the Department’s Unity of Effort Integrated Priorities and how they relate to our industry engagement approach.

Nine breakout sessions, led by industry leaders and Department employees, encouraged participants to discuss various topics across the homeland security enterprise, from research and development to cybersecurity acquisitions. Vendors interested in specific mission areas (e.g., aviation security) were able to hear from, and speak with, DHS and industry leaders who are actively engaged in those mission areas.

Over the course of the day, industry provided DHS with constructive feedback on how to better communicate during all phases of the acquisition lifecycle. Our industry partners also gained greater perspective into the Department, its priorities, and how it approaches acquisition.

As the Department’s Chief Procurement Officer, I am proud to have engaged with our industry partners for a day of clear and open communication--a crucial first step in strengthening our engagements.

The Department is committed to working with our industry partners in order to reach new heights in industry‑government communication. The Strategic Industry Day was just one example.  Please join us as we work to make DHS the best partner in government.

For more information on doing business with the Department please visit: www.dhs.gov/do-business-dhs.",tsa
"On Wednesday, October 26, Secretary of Homeland Security Jeh Johnson presented Senator Barbara Mikulski with the Distinguished Public Service Award during a ceremony at the U.S. Secret Service James J. Rowley Training Center. The DHS Distinguished Public Service Award is the highest honor bestowed by the Secretary to recognize exceptional and transformational public service.

Representing the state of Maryland, Senator Mikulski is the longest serving woman in the history of the U.S. Senate. Her tenure in public service also includes serving on the Baltimore City Council and U.S. House of Representatives. Senator Mikulski’s leadership on homeland security and intelligence related issues has made her one of the leading congressional experts on these issues. Senator Mikulski supported the creation of the Department of Homeland Security and has since been a strong advocate for the department.

Secretary Johnson and Senator Mikulski were joined by Deputy Secretary of Homeland Security Alejandro Mayorkas and DHS senior leadership for a tour of the training facility, including a protective operation demonstration by the Secret Service’s Counter Assault Team.

Past recipients of the DHS Distinguished Public Service Medal include former NYPD Police Commissioner Bill Bratton, former Senator Saxby Chambliss, and former Senator Joe Lieberman.",tsa
"Whether it’s an app that allows us to control the temperature in our home from miles away, a fitness band that tracks the number of steps we take and calories we consume, or a refrigerator sensor that alerts us to when we are running low on milk, apps and connected devices have transformed the way we live our lives.

These major advancements in mobile technology have resulted in an unprecedented era of convenience. On the other hand, the rapidly increasing number of connected devices Americans use on a daily basis has changed what it means to keep our digital lives and homes cyber secure. Not only are we using more apps, we’re also now sharing an extraordinary amount of personal information online, including banking and credit card information, personal health data, and our addresses or location information.  One of the biggest challenges of our time is creating a more secure digital environment by raising awareness for cybersecurity and the critical need to protect personal data online and make more informed decisions on when to share that data at all.

As part of National Cybersecurity Awareness Month 2016 and throughout the year, the Department of Homeland Security is encouraging all Americans to take simple measures to protect their personal information online. Get started by following these steps to help ensure the security of your sensitive information.

One group that has a high ‘app’-titude are children and students. Our Nation’s youth have never known a world that was not digitally connected. They are comfortable with technology, and they may have a different concept of privacy than adults. Parents and educators have a responsibility to help children understand safe online behavior and that online actions have real world consequences. One way to do this is to start ongoing conversations with children about their online actions. DHS’ Stop.Think.Connect.™ Campaign has resources for parents and educators. For students that want to take their cyber skills knowledge and one day work in the cybersecurity field, encourage them to visit www.dhs.gov/cyber. There they will learn about what a cybersecurity job in the government can look like and locate scholarship and job opportunities through the U.S. Department of Homeland Security.

National Cyber Security Awareness Month is led by the Stop.Think.Connect.™ Campaign, the nation’s cybersecurity public awareness campaign, in partnership with the National Cyber Security Alliance and the Anti-Phishing Working Group. The Stop.Think.Connect. Campaign aims to empower the American people to be more secure online by providing them with the tools and resources they need to be safe online.",tsa
"Violent extremism is an evolving threat and a complex challenge. We have seen ISIL attempt to inspire violence from afar through cyberspace. Meanwhile, events in Charleston, Baton Rouge and elsewhere show that violent extremism is not restricted to terrorism abroad and ISIL-inspired violence. As the threat has developed, so has our response.

Two weeks ago, the Administration issued strategic guidance updating the roles and responsibilities of the various departments and agencies that are working together, in partnership with local communities, to address this threat.

Today, the Department of Homeland Security released a comprehensive strategy that aligns with this guidance and builds on Secretary Johnson’s September 28, 2015 memorandum, titled “Building Community Partnerships to Counter Violent Extremism.” That memorandum gave us the strategic direction to take our CVE efforts to the next level and set up the Office for Community Partnerships, which has already developed the first federal grant program dedicated to supporting local CVE efforts.

The Department of Homeland Security Strategy for Countering Violent Extremism (285 KB PDF) recognizes the progress we have made, and lays the groundwork for the future of this critical mission. This document also acknowledges that as we develop our CVE programs, we will continue to make the appropriate privacy, civil rights and civil liberties considerations, working closely with both legal counsel and the DHS Office for Civil Rights and Civil Liberties.

This document notes the importance of understanding the threat we face, putting us on track to further expand our research into violent extremism and advance our programs. It underscores the importance of keeping our local partners informed on the complex nature of terrorist recruitment and radicalization to violence. Through this strategy, we will strengthen our efforts by further improving oversight and coordination, ensuring that benchmarks and measures of performance inform our work, and integrating and unifying CVE planning, programming, budgeting, and execution across the Department.

As we continue to execute this important mission, discussion and dialogue is essential to success. We remain committed to engaging communities and building the trust that is fundamental to this work. This strategy affirms that we are protecting the homeland while upholding our values.",tsa
"By the time you arrive at work or school today, you have already relied on our Nation’s critical infrastructure. From your shower and your breakfast, to your commute and morning login, these vital systems were working for you. National Protection and Programs Directorate (NPPD), along with our fellow DHS professionals from FEMA, TSA, Coast Guard, and other components, are on the frontlines securing and protecting critical infrastructure each and every day throughout the nation.

This November, during Critical Infrastructure Security and Resilience Month, we ask you to join us in promoting awareness of the essential role critical infrastructure plays in all of our lives, and ways organizations and individuals can work to help ensure its resilience and security.

This year, Critical Infrastructure Security and Resilience Month will focus on our infrastructure’s increasing reliance on web-enabled systems. We also will continue to raise awareness among small and medium-sized businesses about resources available to them as they help protect themselves against the kinds of threats we have seen in the U.S., as well as globally, over the past year.

What can you do?  You can:

You can also use our online toolkit to help us spread the word about Critical Infrastructure Security and Resilience Month. Please join us in taking an active role in highlighting the importance of critical infrastructure to the American economy, security and way of life.",tsa
